step,epoch,hp_metric,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
0,,-1.0,9.99999993922529e-09,,,,,,,,,,,
49,0.0,,,,,,,144.14678955078125,,,,,,
99,0.0,,,,,,,146.2020263671875,,,,,,
149,0.0,,,,,,,174.41796875,,,,,,
199,0.0,,,,,,,136.91259765625,,,,,,
249,0.0,,,,,,,190.01123046875,,,,,,
299,0.0,,,,,,,146.87008666992188,,,,,,
349,0.0,,,,,,,132.2588653564453,,,,,,
399,0.0,,,,,,,160.89828491210938,,,,,,
449,0.0,,,,,,,130.46673583984375,,,,,,
479,0.0,,,0.0,0.0,0.0,0.0,,9.99999993922529e-09,1279.8404541015625,1217.390380859375,0.022153301164507866,62.428001403808594,133.19046020507812
480,,,5.564444563788129e-06,,,,,,,,,,,
499,1.0,,,,,,,157.44729614257812,,,,,,
549,1.0,,,,,,,153.38851928710938,,,,,,
599,1.0,,,,,,,97.6962661743164,,,,,,
649,1.0,,,,,,,122.49667358398438,,,,,,
699,1.0,,,,,,,96.18318176269531,,,,,,
749,1.0,,,,,,,97.9423599243164,,,,,,
799,1.0,,,,,,,63.648338317871094,,,,,,
849,1.0,,,,,,,57.211517333984375,,,,,,
899,1.0,,,,,,,64.56063079833984,,,,,,
949,1.0,,,,,,,71.2071533203125,,,,,,
959,1.0,,,0.0,0.0,0.0,0.0,,5.564444563788129e-06,100.0,0.0,100.0,0.0,43.934791564941406
960,,,1.1118889233330265e-05,,,,,,,,,,,
999,2.0,,,,,,,44.502769470214844,,,,,,
1049,2.0,,,,,,,32.12500762939453,,,,,,
1099,2.0,,,,,,,18.698625564575195,,,,,,
1149,2.0,,,,,,,15.977880477905273,,,,,,
1199,2.0,,,,,,,9.508625030517578,,,,,,
1249,2.0,,,,,,,6.9991254806518555,,,,,,
1299,2.0,,,,,,,5.041199684143066,,,,,,
1349,2.0,,,,,,,4.239386558532715,,,,,,
1399,2.0,,,,,,,3.6426124572753906,,,,,,
1439,2.0,,,0.0,0.0,0.0,0.0,,1.1118889233330265e-05,100.0,0.0,100.0,0.0,3.4951019287109375
1440,,,1.667333344812505e-05,,,,,,,,,,,
1449,3.0,,,,,,,3.4862723350524902,,,,,,
1499,3.0,,,,,,,3.2876648902893066,,,,,,
1549,3.0,,,,,,,3.2568912506103516,,,,,,
1599,3.0,,,,,,,3.2722856998443604,,,,,,
1649,3.0,,,,,,,3.3059067726135254,,,,,,
1699,3.0,,,,,,,3.621325969696045,,,,,,
1749,3.0,,,,,,,3.381805181503296,,,,,,
1799,3.0,,,,,,,3.13443922996521,,,,,,
1849,3.0,,,,,,,3.317348003387451,,,,,,
1899,3.0,,,,,,,3.3460984230041504,,,,,,
1919,3.0,,,0.0,0.0,0.0,0.0,,1.667333344812505e-05,100.0,0.0,100.0,0.0,3.217545986175537
1920,,,2.2227777662919834e-05,,,,,,,,,,,
1949,4.0,,,,,,,3.1951072216033936,,,,,,
1999,4.0,,,,,,,3.267608880996704,,,,,,
2049,4.0,,,,,,,3.148115396499634,,,,,,
2099,4.0,,,,,,,3.1809897422790527,,,,,,
2149,4.0,,,,,,,3.1238396167755127,,,,,,
2199,4.0,,,,,,,3.160109043121338,,,,,,
2249,4.0,,,,,,,3.112255573272705,,,,,,
2299,4.0,,,,,,,3.106459856033325,,,,,,
2349,4.0,,,,,,,3.1782374382019043,,,,,,
2399,4.0,,,0.0,0.0,0.0,0.0,3.380474805831909,2.2227777662919834e-05,100.0,0.0,100.0,0.0,3.0938940048217773
2400,,,2.778222187771462e-05,,,,,,,,,,,
2449,5.0,,,,,,,3.0031871795654297,,,,,,
2499,5.0,,,,,,,3.1765241622924805,,,,,,
2549,5.0,,,,,,,3.1121668815612793,,,,,,
2599,5.0,,,,,,,3.111192226409912,,,,,,
2649,5.0,,,,,,,3.062037467956543,,,,,,
2699,5.0,,,,,,,3.087106704711914,,,,,,
2749,5.0,,,,,,,2.992891788482666,,,,,,
2799,5.0,,,,,,,3.019665241241455,,,,,,
2849,5.0,,,,,,,2.967233657836914,,,,,,
2879,5.0,,,0.0,0.0,0.0,0.0,,2.778222187771462e-05,99.2689437866211,0.0,99.24678802490234,0.022153301164507866,2.9241580963134766
2880,,,3.3336666092509404e-05,,,,,,,,,,,
2899,6.0,,,,,,,2.8988757133483887,,,,,,
2949,6.0,,,,,,,3.055105209350586,,,,,,
2999,6.0,,,,,,,2.954646110534668,,,,,,
3049,6.0,,,,,,,3.2005534172058105,,,,,,
3099,6.0,,,,,,,2.891223907470703,,,,,,
3149,6.0,,,,,,,3.309743881225586,,,,,,
3199,6.0,,,,,,,2.815519332885742,,,,,,
3249,6.0,,,,,,,3.002413034439087,,,,,,
3299,6.0,,,,,,,2.7340009212493896,,,,,,
3349,6.0,,,,,,,2.898653984069824,,,,,,
3359,6.0,,,0.0,0.0,0.0,0.0,,3.3336666092509404e-05,97.03145599365234,0.0,96.92069244384766,0.11076650768518448,2.780222177505493
3360,,,3.889111030730419e-05,,,,,,,,,,,
3399,7.0,,,,,,,2.7300758361816406,,,,,,
3449,7.0,,,,,,,2.921008825302124,,,,,,
3499,7.0,,,,,,,2.7129104137420654,,,,,,
3549,7.0,,,,,,,2.5798983573913574,,,,,,
3599,7.0,,,,,,,2.750161647796631,,,,,,
3649,7.0,,,,,,,2.375328779220581,,,,,,
3699,7.0,,,,,,,2.6085262298583984,,,,,,
3749,7.0,,,,,,,2.4218807220458984,,,,,,
3799,7.0,,,,,,,2.359671115875244,,,,,,
3839,7.0,,,0.0,0.0,0.0,0.0,,3.889111030730419e-05,74.10279083251953,0.06645990163087845,59.924678802490234,14.111652374267578,2.336578130722046
3840,,,4.4445554522098973e-05,,,,,,,,,,,
3849,8.0,,,,,,,2.412782669067383,,,,,,
3899,8.0,,,,,,,2.2835586071014404,,,,,,
3949,8.0,,,,,,,2.294560670852661,,,,,,
3999,8.0,,,,,,,2.1476731300354004,,,,,,
4049,8.0,,,,,,,2.005614757537842,,,,,,
4099,8.0,,,,,,,2.149120569229126,,,,,,
4149,8.0,,,,,,,2.208146572113037,,,,,,
4199,8.0,,,,,,,1.9512622356414795,,,,,,
4249,8.0,,,,,,,1.9420790672302246,,,,,,
4299,8.0,,,,,,,2.0074875354766846,,,,,,
4319,8.0,,,0.0,0.0,0.0,0.0,,4.4445554522098973e-05,57.487815856933594,1.6393442153930664,21.66592788696289,34.18254470825195,1.905502438545227
4320,,,4.999999873689376e-05,,,,,,,,,,,
4349,9.0,,,,,,,2.0550317764282227,,,,,,
4399,9.0,,,,,,,1.8148493766784668,,,,,,
4449,9.0,,,,,,,1.9432001113891602,,,,,,
4499,9.0,,,,,,,1.887589693069458,,,,,,
4549,9.0,,,,,,,1.922175407409668,,,,,,
4599,9.0,,,,,,,2.09843373298645,,,,,,
4649,9.0,,,,,,,2.0352656841278076,,,,,,
4699,9.0,,,,,,,1.8275213241577148,,,,,,
4749,9.0,,,,,,,1.8911887407302856,,,,,,
4799,9.0,,,0.0,0.0,0.0,0.0,1.6034753322601318,4.999999873689376e-05,47.93974304199219,3.3673017024993896,9.370845794677734,35.201595306396484,1.6271666288375854
4800,,,4.999999873689376e-05,,,,,,,,,,,
4849,10.0,,,,,,,1.6746646165847778,,,,,,
4899,10.0,,,,,,,1.7818868160247803,,,,,,
4949,10.0,,,,,,,1.5899512767791748,,,,,,
4999,10.0,,,,,,,1.4714961051940918,,,,,,
5049,10.0,,,,,,,1.6519681215286255,,,,,,
5099,10.0,,,,,,,1.8370747566223145,,,,,,
5149,10.0,,,,,,,1.7614879608154297,,,,,,
5199,10.0,,,,,,,1.5813558101654053,,,,,,
5249,10.0,,,,,,,1.6620997190475464,,,,,,
5279,10.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,43.132476806640625,2.348249912261963,9.636686325073242,31.147541046142578,1.3880257606506348
5280,,,4.999383236281574e-05,,,,,,,,,,,
5299,11.0,,,,,,,1.769498586654663,,,,,,
5349,11.0,,,,,,,1.7623908519744873,,,,,,
5399,11.0,,,,,,,1.7018239498138428,,,,,,
5449,11.0,,,,,,,1.8067741394042969,,,,,,
5499,11.0,,,,,,,1.7817941904067993,,,,,,
5549,11.0,,,,,,,1.5267413854599,,,,,,
5599,11.0,,,,,,,1.4960532188415527,,,,,,
5649,11.0,,,,,,,1.6115148067474365,,,,,,
5699,11.0,,,,,,,1.669837474822998,,,,,,
5749,11.0,,,,,,,2.0974109172821045,,,,,,
5759,11.0,,,0.0,0.0,0.0,0.0,,4.999383236281574e-05,41.29375457763672,2.303943395614624,11.807709693908691,27.182100296020508,1.2948449850082397
5760,,,4.997532960260287e-05,,,,,,,,,,,
5799,12.0,,,,,,,1.4788044691085815,,,,,,
5849,12.0,,,,,,,1.3993645906448364,,,,,,
5899,12.0,,,,,,,1.7420693635940552,,,,,,
5949,12.0,,,,,,,1.516115427017212,,,,,,
5999,12.0,,,,,,,1.6390600204467773,,,,,,
6049,12.0,,,,,,,1.7508509159088135,,,,,,
6099,12.0,,,,,,,1.5403811931610107,,,,,,
6149,12.0,,,,,,,1.3755061626434326,,,,,,
6199,12.0,,,,,,,1.9943958520889282,,,,,,
6239,12.0,,,0.0,0.0,0.0,0.0,,4.997532960260287e-05,38.679664611816406,3.588834762573242,7.90872859954834,27.182100296020508,1.2265510559082031
6240,,,4.994450500817038e-05,,,,,,,,,,,
6249,13.0,,,,,,,1.6372251510620117,,,,,,
6299,13.0,,,,,,,1.3940470218658447,,,,,,
6349,13.0,,,,,,,1.3489468097686768,,,,,,
6399,13.0,,,,,,,1.423417091369629,,,,,,
6449,13.0,,,,,,,1.3658431768417358,,,,,,
6499,13.0,,,,,,,1.4941662549972534,,,,,,
6549,13.0,,,,,,,1.342231035232544,,,,,,
