step,epoch,hp_metric,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
0,,-1.0,,,,,,,,,,,,
8160,,,4.9929589295061305e-05,,,,,,,,,,,
8199,17.0,,,,,,,1.3386729955673218,,,,,,
8249,17.0,,,,,,,1.31864595413208,,,,,,
8299,17.0,,,,,,,1.324005126953125,,,,,,
8349,17.0,,,,,,,1.300124168395996,,,,,,
8399,17.0,,,,,,,1.2054920196533203,,,,,,
8449,17.0,,,,,,,1.08131742477417,,,,,,
8499,17.0,,,,,,,1.183580756187439,,,,,,
8549,17.0,,,,,,,1.0211350917816162,,,,,,
8599,17.0,,,,,,,1.2565224170684814,,,,,,
8639,17.0,,,0.0,0.0,0.0,0.0,,9.99999993922529e-09,30.261409759521484,2.6140894889831543,7.244129180908203,20.40319061279297,0.9469984173774719
8640,,,4.990805246052332e-05,,,,,,,,,,,
8649,18.0,,,,,,,1.1859045028686523,,,,,,
8699,18.0,,,,,,,1.0790858268737793,,,,,,
8749,18.0,,,,,,,1.2309588193893433,,,,,,
8799,18.0,,,,,,,1.0994313955307007,,,,,,
8849,18.0,,,,,,,0.9618208408355713,,,,,,
8899,18.0,,,,,,,0.9593096971511841,,,,,,
8949,18.0,,,,,,,1.3291666507720947,,,,,,
8999,18.0,,,,,,,1.0019171237945557,,,,,,
9049,18.0,,,,,,,1.182006597518921,,,,,,
9099,18.0,,,,,,,1.2519240379333496,,,,,,
9119,18.0,,,0.0,0.0,0.0,0.0,,9.99999993922529e-09,30.305715560913086,3.1014621257781982,6.513070583343506,20.69118309020996,0.9542636275291443
9120,,,4.9883645260706544e-05,,,,,,,,,,,
9149,19.0,,,,,,,1.105064868927002,,,,,,
9199,19.0,,,,,,,1.0247706174850464,,,,,,
9249,19.0,,,,,,,1.1856437921524048,,,,,,
9299,19.0,,,,,,,1.049048662185669,,,,,,
9349,19.0,,,,,,,1.1736485958099365,,,,,,
9399,19.0,,,,,,,0.9971500635147095,,,,,,
9449,19.0,,,,,,,0.9787809252738953,,,,,,
9499,19.0,,,,,,,1.3412551879882812,,,,,,
9549,19.0,,,,,,,0.7557188272476196,,,,,,
9599,19.0,,,0.0,0.0,0.0,0.0,0.9319199323654175,9.99999993922529e-09,28.533451080322266,4.607886791229248,3.9211342334747314,20.004430770874023,0.8871354460716248
9600,,,4.985637860954739e-05,,,,,,,,,,,
9649,20.0,,,,,,,1.1889817714691162,,,,,,
9699,20.0,,,,,,,1.021994709968567,,,,,,
9749,20.0,,,,,,,1.0927188396453857,,,,,,
9799,20.0,,,,,,,1.3083019256591797,,,,,,
9849,20.0,,,,,,,1.135172724723816,,,,,,
9899,20.0,,,,,,,1.19575035572052,,,,,,
9949,20.0,,,,,,,0.9835700988769531,,,,,,
9999,20.0,,,,,,,1.0224716663360596,,,,,,
10049,20.0,,,,,,,1.182347059249878,,,,,,
10079,20.0,,,0.0,0.0,0.0,0.0,,9.99999993922529e-09,27.40363311767578,3.322995185852051,5.139565944671631,18.941072463989258,0.8654527068138123
10080,,,4.982625614502467e-05,,,,,,,,,,,
10099,21.0,,,,,,,1.1126428842544556,,,,,,
10149,21.0,,,,,,,1.0750467777252197,,,,,,
10199,21.0,,,,,,,1.4093241691589355,,,,,,
10249,21.0,,,,,,,1.1440621614456177,,,,,,
10299,21.0,,,,,,,1.1697945594787598,,,,,,
10349,21.0,,,,,,,1.22649347782135,,,,,,
10399,21.0,,,,,,,1.0155384540557861,,,,,,
10449,21.0,,,,,,,1.087339997291565,,,,,,
10499,21.0,,,,,,,1.0676255226135254,,,,,,
10549,21.0,,,,,,,1.1699070930480957,,,,,,
