step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
0,1,9.99999993922529e-09,,,,,,,,,,
49,1,,,,,,129.79336547851562,,,,,
99,1,,,,,,168.8779296875,,,,,
119,1,,3036.238525390625,2973.06591796875,0.0,63.172489166259766,,2660.567138671875,2590.11962890625,0.0,70.44749450683594,134.65821838378906
120,2,5.556444375542924e-05,,,,,,,,,,
149,2,,,,,,13.53641128540039,,,,,
199,2,,,,,,12.52048110961914,,,,,
239,2,,177.43240356445312,92.4297866821289,52.12224578857422,32.880367279052734,,110.3234405517578,30.017723083496094,12.095702171325684,68.21001434326172,29.11692237854004
240,3,0.000111118890345,,,,,,,,,,
249,3,,,,,,6.332118034362793,,,,,
299,3,,,,,,6.515582084655762,,,,,
349,3,,,,,,5.442130088806152,,,,,
359,3,,94.32170104980467,1.4481382369995115,83.46892547607422,9.40463924407959,,85.53389739990234,0.7975188493728638,65.48516082763672,19.251218795776367,11.07103157043457
360,4,0.0001666733296588,,,,,,,,,,
399,4,,,,,,3.689876556396485,,,,,
449,4,,,,,,3.704580783843994,,,,,
479,4,,97.95401000976562,0.605810284614563,94.1787109375,3.1694891452789307,,100.0,0.0,100.0,0.0,3.5052270889282227
480,5,0.0002222277835244,,,,,,,,,,
499,5,,,,,,3.4044294357299805,,,,,
549,5,,,,,,3.320927143096924,,,,,
599,5,,100.0,0.0,100.0,0.0,3.3514885902404785,100.0,0.0,100.0,0.0,3.276975154876709
600,6,0.0002777822082862,,,,,,,,,,
649,6,,,,,,3.251868724822998,,,,,
699,6,,,,,,3.317793846130371,,,,,
719,6,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.199218511581421
720,7,0.0003333366767037,,,,,,,,,,
749,7,,,,,,3.1557741165161133,,,,,
799,7,,,,,,3.1855170726776123,,,,,
839,7,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.1574621200561523
840,8,0.0003888911160174,,,,,,,,,,
849,8,,,,,,3.238393783569336,,,,,
