step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
0,1,9.99999993922529e-09,,,,,,,,,,
49,1,,,,,,132.489501953125,,,,,
99,1,,,,,,157.0604248046875,,,,,
119,1,,3057.1845703125,2993.74609375,0.0,63.43848419189453,,2661.01025390625,2590.6513671875,0.0,70.35888671875,134.68638610839844
120,2,5.556444375542924e-05,,,,,,,,,,
149,2,,,,,,14.589229583740234,,,,,
199,2,,,,,,15.06655979156494,,,,,
239,2,,171.9755859375,88.20960235595703,46.3665657043457,37.3994140625,,88.17013549804688,0.0,79.02082061767578,9.14931297302246,8.680318832397461
240,3,0.000111118890345,,,,,,,,,,
249,3,,,,,,7.228245735168457,,,,,
299,3,,,,,,5.789930820465088,,,,,
349,3,,,,,,5.199828147888184,,,,,
359,3,,91.83912658691406,0.5046257376670837,83.03023529052734,8.304264068603516,,95.63580322265624,0.0,94.57244110107422,1.0633584260940552,4.145641803741455
360,4,0.0001666733296588,,,,,,,,,,
399,4,,,,,,3.707186698913574,,,,,
449,4,,,,,,3.6918461322784415,,,,,
479,4,,97.10607147216795,0.0330105647444725,95.00164794921876,2.0714128017425537,,100.0,0.0,100.0,0.0,3.405684471130371
480,5,0.0002222277835244,,,,,,,,,,
499,5,,,,,,3.338012933731079,,,,,
549,5,,,,,,3.2832837104797363,,,,,
599,5,,99.9986343383789,0.0,99.99726104736328,0.0013686256716027,3.3195784091949463,100.0,0.0,100.0,0.0,3.2424979209899902
600,6,0.0002777822082862,,,,,,,,,,
649,6,,,,,,3.212857961654663,,,,,
699,6,,,,,,3.266928195953369,,,,,
719,6,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.174900770187378
720,7,0.0003333366767037,,,,,,,,,,
749,7,,,,,,3.110371351242065,,,,,
799,7,,,,,,3.1965231895446777,,,,,
839,7,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.1311049461364746
840,8,0.0003888911160174,,,,,,,,,,
849,8,,,,,,3.134199380874634,,,,,
899,8,,,,,,3.1386501789093018,,,,,
949,8,,,,,,3.1439223289489746,,,,,
959,8,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.089965581893921
960,9,0.0004444455553311,,,,,,,,,,
999,9,,,,,,3.057021141052246,,,,,
1049,9,,,,,,3.0560359954833984,,,,,
1079,9,,99.9779815673828,0.0,99.9779815673828,0.0,,100.0,0.0,100.0,0.0,3.1098077297210693
1080,10,0.0005000000237487,,,,,,,,,,
1099,10,,,,,,3.175076961517334,,,,,
1149,10,,,,,,3.069630622863769,,,,,
1199,10,,99.87860870361328,0.0,99.86480712890624,0.0137948160991072,2.9547007083892822,98.62649536132812,0.0,98.36065673828124,0.2658396065235138,2.99782133102417
1200,11,0.0005000000237487,,,,,,,,,,
1249,11,,,,,,3.074385643005371,,,,,
1299,11,,,,,,3.079131841659546,,,,,
1319,11,,99.4366455078125,0.0,99.34160614013672,0.0950400158762931,,99.35755157470705,0.0,99.29109191894533,0.0664599016308784,2.97371506690979
1320,12,0.0004999371594749,,,,,,,,,,
1349,12,,,,,,3.0151076316833496,,,,,
1399,12,,,,,,3.522209405899048,,,,,
1439,12,,98.15345001220705,0.0,97.90852355957033,0.2449226677417755,,99.60124206542967,0.0,99.57908630371094,0.0221533011645078,3.111104726791382
1440,13,0.0004997487412765,,,,,,,,,,
1449,13,,,,,,3.0257699489593506,,,,,
1499,13,,,,,,2.7725284099578857,,,,,
1549,13,,,,,,2.7643022537231445,,,,,
1559,13,,97.42171478271484,0.0,97.095458984375,0.3262597620487213,,98.3828125,0.0,98.20558166503906,0.1772264093160629,2.8291268348693848
1560,14,0.0004994348273612,,,,,,,,,,
1599,14,,,,,,2.7610676288604736,,,,,
1649,14,,,,,,2.630295991897583,,,,,
1679,14,,95.92028045654295,0.0,95.4522933959961,0.4679843783378601,,94.30660247802734,0.0,93.13247680664062,1.1741249561309814,2.653620958328247
1680,15,0.000498995592352,,,,,,,,,,
1699,15,,,,,,2.711779832839966,,,,,
1749,15,,,,,,2.460711479187012,,,,,
1799,15,,93.83966064453124,0.0013753833482041,93.09144592285156,0.7468332052230835,2.290624618530273,92.71156311035156,0.0,91.73681640625,0.9747452139854432,2.434603691101074
1800,16,0.0004984312108717,,,,,,,,,,
1849,16,,,,,,2.358466625213623,,,,,
1899,16,,,,,,2.156944751739502,,,,,
1919,16,,89.03223419189453,0.0068841129541397,87.2836685180664,1.7416805028915403,,82.10013580322266,0.0221533011645078,77.51439666748047,4.56358003616333,2.1704859733581543
1920,17,0.0004977419739589,,,,,,,,,,
1949,17,,,,,,2.0741045475006104,,,,,
1999,17,,,,,,2.0024118423461914,,,,,
2039,17,,81.2734603881836,0.0604969002306461,76.82281494140625,4.39015007019043,,76.65042114257812,0.0443066023290157,67.70048522949219,8.905627250671387,2.04830288887024
2040,18,0.0004969282308593,,,,,,,,,,
2049,18,,,,,,1.9343534708023071,,,,,
2099,18,,,,,,1.7906875610351562,,,,,
2149,18,,,,,,1.809084177017212,,,,,
2159,18,,70.67305755615234,0.4476029276847839,60.18950653076172,10.035945892333984,,67.19096374511719,0.8196721076965332,51.46211624145508,14.909171104431152,1.763655185699463
2160,19,0.0004959904472343,,,,,,,,,,
2199,19,,,,,,1.6694395542144775,,,,,
2249,19,,,,,,1.6414679288864136,,,,,
2279,19,,60.34705352783203,1.786106824874878,42.91053009033203,15.65041732788086,,59.01639175415039,1.8830305337905884,40.14178085327149,16.991580963134766,1.6756333112716677
2280,20,0.0004949290305376,,,,,,,,,,
2299,20,,,,,,1.4735746383666992,,,,,
2349,20,,,,,,1.455080509185791,,,,,
2399,20,,52.59538269042969,3.265205144882202,31.47608184814453,17.854097366333008,1.4565531015396118,48.8037223815918,3.810367822647095,24.70092964172364,20.292423248291016,1.4302304983139038
2400,21,0.000493744504638,,,,,,,,,,
2449,21,,,,,,1.3269822597503662,,,,,
2499,21,,,,,,1.2259023189544678,,,,,
2519,21,,47.24909210205078,4.199152946472168,25.25287437438965,17.79706573486328,,45.3921127319336,5.250332355499268,20.048736572265625,20.09304428100586,1.3667140007019043
2520,22,0.0004924375098198,,,,,,,,,,
2549,22,,,,,,1.2576040029525757,,,,,
2599,22,,,,,,1.2243040800094604,,,,,
2639,22,,43.00044250488281,5.107748985290527,20.505401611328125,17.387290954589844,,41.24944686889648,5.604784965515137,17.811254501342773,17.833406448364258,1.2031599283218384
2640,23,0.000491008744575,,,,,,,,,,
2649,23,,,,,,1.1996791362762451,,,,,
2699,23,,,,,,1.2363030910491943,,,,,
2749,23,,,,,,1.1571836471557615,,,,,
2759,23,,41.11725997924805,5.540867805480957,18.323143005371094,17.253250122070312,,45.03766250610352,4.652193069458008,20.425342559814453,19.960124969482425,1.344622254371643
2760,24,0.0004894588491879,,,,,,,,,,
2799,24,,,,,,1.2038109302520752,,,,,
2849,24,,,,,,1.136899709701538,,,,,
2879,24,,37.26780700683594,6.043910980224609,15.297318458557127,15.9265775680542,,40.31900787353516,5.516171932220459,16.105449676513672,18.697385787963867,1.1705267429351809
2880,25,0.0004877886094618,,,,,,,,,,
2899,25,,,,,,0.9620376825332642,,,,,
2949,25,,,,,,0.9610424041748048,,,,,
