step,epoch,hp_metric,lr-Adam,test/CER,test/DER,test/IER,test/SER,test/loss,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
0,,-1.0,4.999999873689376e-05,,,,,,,,,,,,,,,,
49,0.0,,,,,,,,,,,,58.36601257324219,,,,,,
99,0.0,,,,,,,,,,,,4.080636024475098,,,,,,
149,0.0,,,,,,,,,,,,3.1931567192077637,,,,,,
199,0.0,,,,,,,,,,,,3.282327175140381,,,,,,
249,0.0,,,,,,,,,,,,3.283527135848999,,,,,,
299,0.0,,,,,,,,,,,,3.4187209606170654,,,,,,
349,0.0,,,,,,,,,,,,3.5713186264038086,,,,,,
399,0.0,,,,,,,,,,,,3.2292068004608154,,,,,,
449,0.0,,,,,,,,,,,,3.2321786880493164,,,,,,
479,0.0,,,,,,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,100.0,0.0,100.0,0.0,3.2454166412353516
480,,,4.9994625442195684e-05,,,,,,,,,,,,,,,,
499,1.0,,,,,,,,,,,,3.2566111087799072,,,,,,
549,1.0,,,,,,,,,,,,3.170126438140869,,,,,,
599,1.0,,,,,,,,,,,,3.200200080871582,,,,,,
649,1.0,,,,,,,,,,,,3.215993881225586,,,,,,
699,1.0,,,,,,,,,,,,3.236553907394409,,,,,,
749,1.0,,,,,,,,,,,,3.147360324859619,,,,,,
799,1.0,,,,,,,,,,,,3.202272653579712,,,,,,
849,1.0,,,,,,,,,,,,3.041426420211792,,,,,,
899,1.0,,,,,,,,,,,,3.2099781036376953,,,,,,
949,1.0,,,,,,,,,,,,3.1453871726989746,,,,,,
959,1.0,,,,,,,,0.0,0.0,0.0,0.0,,4.9994625442195684e-05,100.0,0.0,100.0,0.0,3.05912184715271
960,,,4.997850919608027e-05,,,,,,,,,,,,,,,,
999,2.0,,,,,,,,,,,,3.1615593433380127,,,,,,
1049,2.0,,,,,,,,,,,,3.3094639778137207,,,,,,
1099,2.0,,,,,,,,,,,,3.08803391456604,,,,,,
1149,2.0,,,,,,,,,,,,3.0441694259643555,,,,,,
1199,2.0,,,,,,,,,,,,3.007594108581543,,,,,,
1249,2.0,,,,,,,,,,,,3.016138792037964,,,,,,
1299,2.0,,,,,,,,,,,,2.9651002883911133,,,,,,
1349,2.0,,,,,,,,,,,,2.8963143825531006,,,,,,
1399,2.0,,,,,,,,,,,,3.084010124206543,,,,,,
1439,2.0,,,,,,,,0.0,0.0,0.0,0.0,,4.997850919608027e-05,100.0,0.0,100.0,0.0,2.8833370208740234
1440,,,4.9951653636526316e-05,,,,,,,,,,,,,,,,
1449,3.0,,,,,,,,,,,,2.9212756156921387,,,,,,
1499,3.0,,,,,,,,,,,,2.851067066192627,,,,,,
1549,3.0,,,,,,,,,,,,2.99872088432312,,,,,,
1599,3.0,,,,,,,,,,,,2.8078248500823975,,,,,,
1649,3.0,,,,,,,,,,,,2.85357666015625,,,,,,
1699,3.0,,,,,,,,,,,,2.7853355407714844,,,,,,
1749,3.0,,,,,,,,,,,,2.9387705326080322,,,,,,
1799,3.0,,,,,,,,,,,,2.8933663368225098,,,,,,
1849,3.0,,,,,,,,,,,,2.6971218585968018,,,,,,
1899,3.0,,,,,,,,,,,,2.8290936946868896,,,,,,
1919,3.0,,,,,,,,0.0,0.0,0.0,0.0,,4.9951653636526316e-05,100.0,0.0,100.0,0.0,2.665466547012329
1920,,,4.991407331544906e-05,,,,,,,,,,,,,,,,
1949,4.0,,,,,,,,,,,,2.8356964588165283,,,,,,
1999,4.0,,,,,,,,,,,,2.71502685546875,,,,,,
2049,4.0,,,,,,,,,,,,2.698948383331299,,,,,,
2099,4.0,,,,,,,,,,,,2.751474618911743,,,,,,
2149,4.0,,,,,,,,,,,,2.712949752807617,,,,,,
2199,4.0,,,,,,,,,,,,2.6439709663391113,,,,,,
2249,4.0,,,,,,,,,,,,2.358778953552246,,,,,,
2299,4.0,,,,,,,,,,,,2.590421676635742,,,,,,
2349,4.0,,,,,,,,,,,,2.6066651344299316,,,,,,
2399,4.0,,,,,,,,0.0,0.0,0.0,0.0,2.4498772621154785,4.991407331544906e-05,100.0,0.0,100.0,0.0,2.419147491455078
2400,,,4.986578642274253e-05,,,,,,,,,,,,,,,,
2449,5.0,,,,,,,,,,,,2.43626070022583,,,,,,
2499,5.0,,,,,,,,,,,,2.480264186859131,,,,,,
2549,5.0,,,,,,,,,,,,2.317882537841797,,,,,,
2599,5.0,,,,,,,,,,,,2.534489870071411,,,,,,
2649,5.0,,,,,,,,,,,,2.352219820022583,,,,,,
2699,5.0,,,,,,,,,,,,2.3871216773986816,,,,,,
2749,5.0,,,,,,,,,,,,2.349747657775879,,,,,,
2799,5.0,,,,,,,,,,,,2.4388844966888428,,,,,,
2849,5.0,,,,,,,,,,,,2.3533968925476074,,,,,,
2879,5.0,,,,,,,,0.0,0.0,0.0,0.0,,4.986578642274253e-05,100.0,0.0,100.0,0.0,2.180605411529541
2880,,,4.980681114830077e-05,,,,,,,,,,,,,,,,
2899,6.0,,,,,,,,,,,,2.3422493934631348,,,,,,
2949,6.0,,,,,,,,,,,,2.4344899654388428,,,,,,
2999,6.0,,,,,,,,,,,,2.295492172241211,,,,,,
3049,6.0,,,,,,,,,,,,2.188607692718506,,,,,,
3099,6.0,,,,,,,,,,,,2.2738351821899414,,,,,,
3149,6.0,,,,,,,,,,,,2.2294836044311523,,,,,,
3199,6.0,,,,,,,,,,,,2.121492624282837,,,,,,
3249,6.0,,,,,,,,,,,,2.0949795246124268,,,,,,
3299,6.0,,,,,,,,,,,,1.9458513259887695,,,,,,
3349,6.0,,,,,,,,,,,,2.091458797454834,,,,,,
3359,6.0,,,,,,,,0.0,0.0,0.0,0.0,,4.980681114830077e-05,100.0,0.0,100.0,0.0,2.042311429977417
3360,,,4.973717295797542e-05,,,,,,,,,,,,,,,,
3399,7.0,,,,,,,,,,,,2.2490196228027344,,,,,,
3449,7.0,,,,,,,,,,,,2.102442741394043,,,,,,
3499,7.0,,,,,,,,,,,,1.9989157915115356,,,,,,
3549,7.0,,,,,,,,,,,,2.1634552478790283,,,,,,
3599,7.0,,,,,,,,,,,,2.0141797065734863,,,,,,
3649,7.0,,,,,,,,,,,,2.0887768268585205,,,,,,
3699,7.0,,,,,,,,,,,,2.1871321201324463,,,,,,
3749,7.0,,,,,,,,,,,,2.0799453258514404,,,,,,
3799,7.0,,,,,,,,,,,,2.164879322052002,,,,,,
3839,7.0,,,,,,,,0.0,0.0,0.0,0.0,,4.973717295797542e-05,98.24988555908203,0.0,98.22773742675781,0.022153301164507866,1.91518235206604
3840,,,4.9656904593575746e-05,,,,,,,,,,,,,,,,
3849,8.0,,,,,,,,,,,,2.0487289428710938,,,,,,
3899,8.0,,,,,,,,,,,,2.010054349899292,,,,,,
3949,8.0,,,,,,,,,,,,2.1138596534729004,,,,,,
3999,8.0,,,,,,,,,,,,1.9434082508087158,,,,,,
4049,8.0,,,,,,,,,,,,2.0192642211914062,,,,,,
4099,8.0,,,,,,,,,,,,1.9652148485183716,,,,,,
4149,8.0,,,,,,,,,,,,1.9863393306732178,,,,,,
4199,8.0,,,,,,,,,,,,1.9849931001663208,,,,,,
4249,8.0,,,,,,,,,,,,1.7975506782531738,,,,,,
4299,8.0,,,,,,,,,,,,2.0111303329467773,,,,,,
4319,8.0,,,,,,,,0.0,0.0,0.0,0.0,,4.9656904593575746e-05,90.51838684082031,0.0,90.3411636352539,0.17722640931606293,1.826838493347168
4320,,,4.9566038796911016e-05,,,,,,,,,,,,,,,,
4349,9.0,,,,,,,,,,,,2.0490341186523438,,,,,,
